Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Urspr. plats?,Nuv. koord.,Sockenkod/Fornlämningsnr.,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Övrigt,Alternativt signum,Referens,Bildlänk,lat,lon,marker,date
DR IK512 U ,Skonager,Næsbjerg sn,"Skast hd, Nørrejylland",Varde,Nationalmuseet (C. 717),(55.6239314129371 ; 8.55744710209887),,,190509-50 [Lokalitet/76649],,,U 400-650,,,metall,guld,brakteat (D-typ),Inskriften finns på ett brakteatfragment vilket har använts som förstärkning av öglan på baksidan av en D-brakteat.,,http://runer.ku.dk/VisGenstand.aspx?Titel=Skonager-brakteat_%c3%b8sken; http://digi20.digitale-sammlungen.de/en/fs1/object/display/bsb00042597_00190.html; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=364&ort=Skonager&objekt=brakteat (D-typ)>,http://digi20.digitale-sammlungen.de/en/fs1/object/display/bsb00042612_00102.html,55.6239314129371,8.55744710209887,🗡️ᚱ,525
DR IK578 U ,Gadegård,Bodilsker sn,"Sønder hd, Bornholm",Bornholm,"Bornholms Museum (1781), Nationalmuseet (D 1/94 C 35178)",(55.0523119478435 ; 15.0713637794961),,,060201-127 [Lokalitet/127840],,,U ca 500,,,metall,guld,brakteat (C-typ),"Funnen med metalldetektor 1993, ytterligare ett fynd 1999. Tidigare signum: DR AUD1994;268.",DR AUD1994;268,RGA-E 40:927f; http://runer.ku.dk/VisGenstand.aspx?Titel=Gadeg%c3%a5rd-brakteat; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=366&ort=Gadegård&objekt=brakteat (C-typ)>,,55.0523119478435,15.0713637794961,🗡️ᚱ,500
DR IK585 U ,"Sankt Ibs Vej, Roskilde",Roskilde,"Sømme hd, Sjælland",Roskilde,"Roskilde Museum (Museumsnr. 1813, Nationalmuseet Inv. nr. D 31/97)",,,,020410,,,U 375/400-560/570 (Imer 2007),,,metall,guld,brakteat (C-typ),Tidigare signum: DR AUD1997;262.,DR AUD1997;262,"RGA-E 40:937f; http://runer.ku.dk/VisGenstand.aspx?Titel=Sankt_Ibs_Vej-brakteat; NOR 1998:5f, http://urn.nb.no/URN:NBN:no-44954; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=385&ort=Roskilde&object=brakteat (C-typ)>",,55.6477,12.0829,🗡️ᚱ,480
DR IK591 U ,Uppåkra,Uppåkra sn,"Bara hd, Skåne",Staffanstorp,"Lunds universitets historiska museum (U 10881, 31251:9196-9197)",6173725.1334059,,,"1385 (Uppåkra), 5:1 (grav- och boplatsområde) [objektid=10138500050001]",,,U 400-650,,,metall,guld,brakteat (C-typ),"Tidigare signum: DR NOR2002;10 och DR IK591,1. Läses från höger till vänster. Tre exemplar.","DR NOR2002;10, DR IK591,1","IK 591,1 och IK 591,2 (två exemplar), RGA-E 40:944f; Axboe & Stoklund 2003:85f; http://runer.ku.dk/VisGenstand.aspx?Titel=Upp%c3%a5kra-brakteat_1; NOR 2002:9f, http://urn.nb.no/URN:NBN:no-45072; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=401&ort=Uppåkra&objekt=brakteat (C-typ)>",,55.664432845245,13.168120775282386,🗡️ᚱ,525
DR IK610 $U ,Uppåkra,Uppåkra sn,"Bara hd, Skåne",Staffanstorp,Lunds universitets historiska museum (31251:7866),6173725.1334059,,,"1385 (Uppåkra), 5:1 (grav- och boplatsområde) [objektid=10138500050001]",,,U 400-650,,,metall,guld,brakteat (A-typ),,,"RGA-E 40:972; $=Imer 2007,2:432; http://runer.ku.dk/VisGenstand.aspx?Titel=Upp%c3%a5kra-brakteat_2; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=416&ort=Uppåkra&objekt=brakteat (A-typ)>",,55.664432845245,13.168120775282386,🗡️ᚱ,525
DR IK611 $U ,Uppåkra,Uppåkra sn,"Bara hd, Skåne",Staffanstorp,Lunds universitets historiska museum (31251:867),6173725.1334059,,,"1385 (Uppåkra), 5:1 (grav- och boplatsområde) [objektid=10138500050001]",,,U 400-650,,,metall,guld,fragment av brakteat (okänd typ),,,"RGA-E 40:973; $=Imer 2007,2:433; http://runer.ku.dk/VisGenstand.aspx?Titel=Upp%c3%a5kra-brakteat_3; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=417&ort=Uppåkra&objekt=fragment av brakteat (okänd typ)>",,55.664432845245,13.168120775282386,🗡️ᚱ,525
DR IK625 U ,Uppåkra,Uppåkra sn,"Bara hd, Skåne",Staffanstorp,Lunds universitets historiska museum (31251:10592),6173725.1334059,,,"1385 (Uppåkra), 5:1 (grav- och boplatsområde) [objektid=10138500050001]",,,U 400-650,,,metall,guld,brakteat (C-typ),Hittad 2008.,,RGA-E 40:987f,,55.664432845245,13.168120775282386,🗡️ᚱ,525
DR IK647 U ,Stavnsager,Hørning sn,"Sønderhald hd, Nørrejylland",Randers,Nationalmuseet (C. 38872),(56.4212616384776 ; 10.2254754779676),,,141006-57 [Lokalitet/138094],,,U 400-650,,,metall,guld,brakteat (C-typ),"Hittad 2012. Futharkimitation. Nära besläktad med brakteaterna från Over Hornbæk 3, DR IK140, och Lindkær, DR IK110.",,http://runer.ku.dk/VisGenstand.aspx?Titel=Stavnsager-brakteat_1,,56.4212616384776,10.2254754779676,🗡️ᚱ,525
DR IK649 U ,Stavnsager,Hørning sn,"Sønderhald hd, Nørrejylland",Randers,Nationalmuseet (C. 38874),(56.4212616384776 ; 10.2254754779676),,,141006-57 [Lokalitet/138094],,,U 400-650,,,metall,guld,brakteat (D-typ),Hittad 2012.,,http://runer.ku.dk/VisGenstand.aspx?Titel=Stavnsager-brakteat_2,,56.4212616384776,10.2254754779676,🗡️ᚱ,525
DR IK650 U ,Stavnsager,Hørning sn,"Sønderhald hd, Nørrejylland",Randers,Nationalmuseet,(56.4212616384776 ; 10.2254754779676),,,141006,,,U 400-650,,,metall,guld,brakteat (C-typ),Hittad 2012.,,http://runer.ku.dk/VisGenstand.aspx?Titel=Stavnsager-brakteat_3,,56.4212616384776,10.2254754779676,🗡️ᚱ,525
DR EM85;88 U ,Garbølle (Stenmagle),Stenmagle sn,"Alsted hd, Sjælland",Sorø,Nationalmuseet (C. 24115),(55.5649166809684 ; 11.5577685760181),,,040112-57 [Lokalitet/109931],,,U 160-375/400 (Imer 2007),,,ben/horn,ebenholts,ask,,,"KJ 30; DK nr.: Sj 62, http://runer.ku.dk/VisGenstand.aspx?Titel=Stenmagle-%c3%a6ske; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=27&ort=Garbølle (Stenmagle)&objekt=ask>",,55.5649166809684,11.5577685760181,🦴ᚱ,268
DR EM85;93 $U ,Fælleseje (Slemminge),Slemminge sn,"Musse hd, Lolland",Guldborgsund,"Nationalmuseet, København",(54.7282958761711 ; 11.6254069343152),,,070618-37 [Lokalitet/131917],,,U 375/400-560/570 (Imer 2007),,,ben/horn,renhorn,skinnskrapa,,,"$=Williams 2006; DK nr.: Syd 13, http://runer.ku.dk/VisGenstand.aspx?Titel=Slemminge-skraber; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=234&ort=Fælleseje (Slemminge)&objekt=skinnskrapa>",,54.7282958761711,11.6254069343152,🦴ᚱ,480
DR EM85;123 $U ,Værløse,Værløse sn,"Smørum hd, Sjælland",Furesø,Nationalmuseet (D 08/44),(55.7734683301213 ; 12.3345068262695),,,020216-34 [Lokalitet/95963],,,U 210/220-250/260 (Imer 2007),,,metall,silver,fibula,,,"$=Stoklund 1994b; KJ 11; DK nr.: Sj 21, http://runer.ku.dk/VisGenstand.aspx?Titel=V%c3%a6rl%c3%b8se-fibula; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=3&ort=Værløse&objekt=fibula>",,55.7734683301213,12.3345068262695,🗡️ᚱ,235
DR EM85;126 $U ,Næsbjerg,Næsbjerg sn,"Skast hd, Nørrejylland",Varde,Nationalmuseet (C. 14204),,,,190509,,,U 210/220-250/260 (Imer 2007),,,metall,brons,rosettfibula,,,"$=Stoklund 1994b; KJ 13; DK nr.: SJy 46, http://runer.ku.dk/VisGenstand.aspx?Titel=N%c3%a6sbjerg-fibula; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=5&ort=Næsbjerg&objekt=rosettfibula>",,55.6244,8.5988,🗡️ᚱ,235
DR EM85;128A $U ,Gårdlösa,Smedstorps sn,"Ingelstads hd, Skåne",Tomelilla,SHM (25302),6159500.1394550,,,1117 (Smedstorp),,,U 210/220-250/260 (Imer 2007),,,metall,silver,armborstfibula,,,"$=Stoklund 1994b; KJ 12; DK nr.: Sk 41, http://runer.ku.dk/VisGenstand.aspx?Titel=G%C3%A5rdl%C3%B6sa-fibula; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=4&ort=Gårdlösa&objekt=armborstfibula>","http://kulturarvsdata.se/shm/media/html/19218, http://kulturarvsdata.se/shm/media/html/19234",55.553614686457536,14.134297196137553,🗡️ᚱ,235
DR EM85;128B $U ,Himlingøje,Himlingøje sn,"Bjæverskov hd, Sjælland",Stevn,Nationalmuseet (C 24137),(55.3745011357774 ; 12.2123387945752),,,050105-20 [Lokalitet/87935],,,U 210/220-250/260 (Imer 2007),,,metall,silver,rosettfibula,,,"$=Stoklund 1994b; $=DK nr.: Sj 74, http://runer.ku.dk/VisGenstand.aspx?Titel=Himling%c3%b8je-fibula_2; KJ 10; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=2&ort=Himlingøje&objekt=rosettfibula>",,55.3745011357774,12.2123387945752,🗡️ᚱ,235
DR EM85;129 $U ,"Lundegårde, Nøvling",Nøvling sn,"Fleskum hd, Nørrejylland",Aalborg,,(56.9836768196306 ; 9.96226988906554),,,120109-55 [Lokalitet/23242],,,U 210/220-250/260 (Imer 2007),,,metall,silver,fibula,,,"$=Stoklund 1994b; KJ 13a; DK nr.: NJy 48, http://runer.ku.dk/VisGenstand.aspx?Titel=N%c3%b8vling-fibula; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=6&ort=Lundegårde, Nøvling&objekt=fibula>",,56.9836768196306,9.96226988906554,🗡️ᚱ,235
DR EM85;133 $M ,Søborg,Søborg sn,"Holbo hd, Sjælland",Gribskov,,(56.090535 ; 12.310674),,,010110,,,M,,,ben/horn,ben,"runben, fragment",Troligen någon sorts lönnskrift.,,"$=RunLab.; DK nr.: Sj 4, http://runer.ku.dk/VisGenstand.aspx?Titel=S%c3%b8borg-benstykke",,56.090535,12.310674,🦴ᚱ,1300
DR EM85;151A  ,Haddeby,Busdorf,"Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Busdorf,Museum Haithabu,,,,,dubbelstreckade runor,,V 800-1000 (Imer 2007),,,ben/horn,ben,kam,,,"DK nr.: Sl 6, http://runer.ku.dk/VisGenstand.aspx?Titel=Haddeby-kam",,54.4911,9.5653,🦴ᚱ,900
DR EM85;151B $ ,Ribe,Ribe,"Ribe hd, Nørrejylland",Esbjerg,,,,,190408-127,,,V 700-750 (Imer 2007),,,ben/horn,ben,bit av kranium,,,"$=N.Å. Nielsen 1983:53ff, Stoklund 1996; DK nr.: SJy 39, http://runer.ku.dk/VisGenstand.aspx?Titel=Ribe-hjerneskal",,55.3283,8.7622,🦴ᚱ,725
DR EM85;160 U ,Ålborg,Ålborg,"Fleskum hd, Nørrejylland",Aalborg,Nationalmuseet (C. 27998),,,,120516,,,U 675-725 (Imer 2007),,,metall,brons,"brosch, fibula",,,"DK nr.: NJy 60, http://runer.ku.dk/VisGenstand.aspx?Titel=%c3%85lborg-fibula",,57.05,9.9200,🗡️ᚱ,700
DR EM85;161 $U? ,Lousgård,Øster Larsker sn,"Øster hd, Bornholm",Bornholm,Nationalmuseet (C. 5600),,,,060405 ,urnordiska eller övergångsform,,"U? föremålet är från 600-t, inskriften kan vara urnordisk eller övergångsform",,,metall,brons,pärla,,,"$=Moltke 1956:1ff (Festskr. t. P. Skautrup); DK nr.: Bh 47, http://runer.ku.dk/VisGenstand.aspx?Titel=Lousg%c3%a5rd-perle; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=396&ort=Lousgård&objekt=pärla>",,55.2,14.9500,🗡️ᚱ,
DR EM85;221  ,Jelling,Jelling sn,"Tørrild hd, Nørrejylland",Vejle,"Nationalmuseet (C. 32169), utställd i ""Kongernes Jelling"" i Jelling",(55.756 ; 9.420),,,170904,,,V,,,sten,granit,runsten,,,"DK nr.: SJy 12, http://runer.ku.dk/VisGenstand.aspx?Titel=Jelling-sten_3",,55.756,9.42,ᚱ,1050
DR EM85;239  ,Gørlev,Gørlev sn,"Løve hd, Sjælland",Gørlev,I vapenhuset.,(55.53803 ; 11.22557),,,030206,,,V 1000-t,,,sten,granit/gnejs,runsten,,,"DK nr.: Sj 47, http://runer.ku.dk/VisGenstand.aspx?Titel=G%c3%b8rlev-sten_2",,55.53803,11.22557,ᚱ,1050
DR EM85;265  ,Sporup,Sporup sn,"Gjern hd, Nørrejylland",Favrskov,I kyrkan.,(56.21105 ; 9.80048),,,160111,,,V ca 1000,,,sten,granit,runsten,,,"DK nr.: MJy 83, http://runer.ku.dk/VisGenstand.aspx?Titel=Sporup-sten",,56.21105,9.80048,ᚱ,1000
DR EM85;274  ,Hørdum kirke,Hørdum sn,"Hassing hd, Nørrejylland",Thisted,I vapenhuset.,(56.8440633122851 ; 8.51370343644038),,,110106-183 [Lokalitet/16514],,,V,,,sten,gnejs,ristad sten,,,"DK nr.: NJy 30, http://runer.ku.dk/VisGenstand.aspx?Titel=H%c3%b8rdum-billedsten",,56.8440633122851,8.51370343644038,ᚱ,1050
DR EM85;306 $ ,Asmild,Asmild sn,"Nørlyng hd, Nørrejylland",Viborg,I vapenhuset.,(56.44690 ; 9.42504),,,130801-113,,,V,,,sten,,runsten,,,"$=K.M. Nielsen 1952:24 (Runer og Rids); DK nr.: MJy 28, http://runer.ku.dk/VisGenstand.aspx?Titel=Asmild-sten",,56.4469,9.42504,ᚱ,1050
DR EM85;308  ,Klejtrup,Klejtrup sn,"Rinds hd, Nørrejylland",Viborg,,(56.6038941705637 ; 9.64676369070562),,,130906-102 [Lokalitet/38896],,,V b 1000-t,,,sten,gnejs,runsten,,,"DK nr.: MJy 33, http://runer.ku.dk/VisGenstand.aspx?Titel=Klejtrup-sten",,56.6038941705637,9.64676369070562,ᚱ,1050
DR EM85;312  ,Kjellerup Hovedgård (Svenstrup),Svenstrup sn,"Onsild hd, Nørrejylland",Mariagerfjord,,(56.5992545322645 ; 9.99814930501292),,,140711-150 [Lokalitet/190841],,,V,,,sten,granit,runsten,,,"DK nr.: NJy 75, http://runer.ku.dk/VisGenstand.aspx?Titel=Svenstrup-sten",,56.5992545322645,9.99814930501292,ᚱ,1050
DR EM85;343 $ ,Øster Larsker,Øster Larsker sn,"Øster hd, Bornholm",Bornholm,,(55.1711996302656 ; 14.9616335791876),,,060405,,,V,,,sten,granit,runsten,Funnen 1955 vid restaurering av kyrkan.,,"$=Lerche Nielsen 1997b; DK nr.: Bh 50, http://runer.ku.dk/VisGenstand.aspx?Titel=%c3%98sterlarsker-sten_3",,55.1711996302656,14.9616335791876,ᚱ,1050
DR EM85;348 $ ,Lindholm,Lindholm sn,"Kær hd, Nørrejylland",Aalborg,,(57.088 ; 9.915),,,120607-20 [Lokalitet/166314],,,V 800-900 (Imer 2007),,,ben/horn,horn,knivskaft,,,"$=RunLab.; DK nr.: NJy 61, http://runer.ku.dk/VisGenstand.aspx?Titel=Lindholm_H%c3%b8je-knivskaft",,57.088,9.915,🦴ᚱ,850
DR EM85;350 $ ,Hemdrup,Skarp Salling sn,"Slet hd, Nørrejylland",Vesthimmerland,"Moesgård museum, Århus",,,,120712,,,V 900-1050 (Imer 2007),,,trä,ask,pinne,,,"$=N.Å. Nielsen 1983:58ff; DK nr.: NJy 62, http://runer.ku.dk/VisGenstand.aspx?Titel=Hemdrup-pind",,56.9502,9.3582,🌲ᚱ,975
DR EM85;355  ,Haddeby,Busdorf,"Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Busdorf,Museum Haithabu,,,,,långkvist,,V 800-1000 (Imer 2007),,,ben/horn,ben,"runben, revben",,,"DK nr.: Sl 7, http://runer.ku.dk/VisGenstand.aspx?Titel=Haddeby-benstykke",,54.4911,9.5653,🦴ᚱ,900
DR EM85;356  ,Gravlev,Gravlev sn,"Hornum hd, Nørrejylland",Rebild,,,,,,,,V trol. 1000-1050,,,trä,trä,pinne,,,"DK nr.: NJy 53, http://runer.ku.dk/VisGenstand.aspx?Titel=Gravlev-pind",,56.8449,9.8189,🌲ᚱ,
DR EM85;361  ,Århus,Århus sn,"Hasle hd, Nørrejylland",Aarhus,"Moesgård museum, Århus",,,,150311,,,V 900-1000 (Imer 2007),,,ben/horn,horn,kam,,,"DK nr.: MJy 80, http://runer.ku.dk/VisGenstand.aspx?Titel=%c3%85rhus-kam",,56.1629,10.2039,🦴ᚱ,950
DR EM85;370B  ,Haddeby,Busdorf,"Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Busdorf,Museum Haithabu,,,,,,,V 800-t,,,trä,trä,trätapp,,,"DK nr.: Sl 10, http://runer.ku.dk/VisGenstand.aspx?Titel=Haddeby-rundstok",,54.497,9.5694,🌲ᚱ,850
DR EM85;371A  ,Haddeby,Busdorf,"Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Busdorf,Museum Haithabu,,,,,kortkvist,,V 800-1000 (Imer 2007),,,trä,trä,pinne,Den äldsta bevarade kortkvist-futharken.,,"DK nr.: Sl 8, http://runer.ku.dk/VisGenstand.aspx?Titel=Haddeby-pind_1",,54.497,9.5694,🌲ᚱ,900
DR EM85;371B $ ,Haddeby,Busdorf,"Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Busdorf,Museum Haithabu,,,,,kortkvist,,V 800-t,,,trä,trä,pinne,,,"$=Kabell 1977:64ff (ANF); DK nr.: Sl 9, http://runer.ku.dk/VisGenstand.aspx?Titel=Haddeby-pind_2",,54.497,9.5694,🌲ᚱ,850
DR EM85;377 $ ,Älleköpings kyrka,Åhus sn,"Villands hd, Skåne",Kristianstad,Kristianstads museum,6201100.1401390,,,"1152 (Åhus), 2:4 [objektid=10115200020004]",kortkvist,,V 900-t el. b 1000-t,RAK,,sten,granit,runsten,"Runorna står i en lodrät rad begränsad av ramlinjer, ingen utsmyckning.",,"$=Fv 1966:105, http://fornvannen.se/pdf/1960talet/1966_102.pdf; DK nr.: Sk 97, http://runer.ku.dk/VisGenstand.aspx?Titel=%C3%84llek%C3%B6pinge-sten",,55.928542438111776,14.227628194051114,ᚱ,950
DR EM85;392 $ ,"Lund, kv. Svartbröder",Lund,Skåne,Lund,Lunds kulturhistoriska museum (62892:2797),6177975.1335900,,,"1298 (Lund), 73 (stadslager) [objektid=10129800730001]",,,V b 1070-t,,,metall,bly,platta slagen med myntprov,,,"$=Jensen 1983:2ff (Nord. numismatisk medlemsblad 1); DK nr.: SkL 32, http://runer.ku.dk/VisGenstand.aspx?Titel=Lund-m%c3%b8ntpr%c3%b8vestykke",,55.70319071552423,13.194802379990445,🗡️ᚱ,1120
DR EM85;422A M ,Viborg,Viborg,"Nørlyng hd, Nørrejylland",Viborg,Viborg Stiftsmuseum (7334),,,,130815,,,M,,,sten,granit,byggnadssten med stenmästarsignatur,,,"DK nr.: MJy 31, http://runer.ku.dk/VisGenstand.aspx?Titel=Viborg-sokkelsten",,56.4333,9.4000,ᚱ,1300
DR EM85;422B M ,Lille Heddinge,Lille Heddinge sn,"Stevns hd, Sjælland",Stevn,I kyrkans södra port.,(55.27349 ; 12.38972),,,050606,,,M,,,sten,kalksten,kvadersten,,,"DK nr.: Sj 87, http://runer.ku.dk/VisGenstand.aspx?Titel=Lille_Heddinge-kvadersten",,55.27349,12.38972,ᚱ,1300
DR EM85;422C M ,Store Heddinge,Store Heddinge sn,"Stevns hd, Sjælland",Stevn,I Sankt Katharina kyrka. Invändigt i absiden.,(55.31271 ; 12.39127),,,050610,,,M 1200-t,,,sten,kalksten,kvadersten,,,"DK nr.: Sj 88, http://runer.ku.dk/VisGenstand.aspx?Titel=Store_Heddinge-kvadersten",,55.31271,12.39127,ᚱ,1250
DR EM85;427 †M ,Norra Åkarps kyrka,Norra Åkarps sn,"Västra Göinge hd, Skåne",Hässleholm,,6240625.1369729,,,1093 (Norra Åkarp),,,M,,,puts,kalkputs,målad vägginskrift,,,"DK nr.: Sk 137, http://runer.ku.dk/VisGenstand.aspx?Titel=Norra_%c3%85karp-kalkmaleri",,56.27575649946076,13.702160744421674,🧱ᚱ,1300
DR EM85;430A $M ,Gullevs kirke,Gullev sn,"Houlbjerg hd, Nørrejylland",Viborg,På korets nordvägg.,(56.35200 ; 9.67942),ja,,130504,,,M,,,puts,kalkputs,putsinskrift,,,"$=RunLab; DK nr.: MJy 6, http://runer.ku.dk/VisGenstand.aspx?Titel=Gullev-kalkristning",,56.352,9.67942,🧱ᚱ,1300
DR EM85;430B $M ,Mosbjergs kirke,Mosbjerg sn,"Horns hd, Nørrejylland",Hjørring,I triumfväggens norra del in mot långhuset.,(57.50090 ; 10.26210),ja,,100309,,,M,,,puts,kalkputs,putsinskrift,,,"$=RunLab; DK nr.: NJy 10, http://runer.ku.dk/VisGenstand.aspx?Titel=Mosbjerg-kalkristning",,57.5009,10.2621,🧱ᚱ,1300
DR EM85;430C M ,Drøsselbjergs kirke,Drøsselbjerg sn,"Løve hd, Sjælland",Kalundborg,Nationalmuseet (D 6/1952),(55.47252 ; 11.21174),,,030203,,,M,,,puts,kalkputs,putsinskrift,,,"DK nr.: Sj 49, http://runer.ku.dk/VisGenstand.aspx?Titel=Dr%c3%b8sselbjerg-kalkristning",,55.47252,11.21174,🧱ᚱ,1300
DR EM85;430D M ,Søstrups kirke,Søstrup sn,"Merløse hd, Sjælland",Holbæk,På korets nordvägg.,(55.68095 ; 11.65092),ja,,030314,,,M,,,puts,kalkputs,putsinskrift,,,"DK nr.: Sj 56, http://runer.ku.dk/VisGenstand.aspx?Titel=S%c3%b8strup-kalkristning",,55.68095,11.65092,🧱ᚱ,1300
DR EM85;432A $M ,Tjæreby kirke,Tjæreby sn,"Strø hd, Sjælland",Hillerød,På korets nordvägg.,(55.93420 ; 12.22800),ja,,010508,,,M,,,puts,kalkputs,putsinskrift,,,"$=Danmarks kirker II, Frederiksborgs Amt bind 3, 1970:1393ff; DK nr.: Sj 12, http://runer.ku.dk/VisGenstand.aspx?Titel=Tj%c3%a6reby-kalkristning",,55.9342,12.228,🧱ᚱ,1300
DR EM85;432B M ,Roskilde domkirke,Roskilde,"Sømme hd, Sjælland",Roskilde,På norrra korskrankmurens insida.,(55.64270 ; 12.08030),ja,,020410,,,M,,,puts,kalkputs,putsinskrift,,,"DK nr.: Sj 29, http://runer.ku.dk/VisGenstand.aspx?Titel=Roskilde_Domkirke-kalkristning_1",,55.6427,12.0803,🧱ᚱ,1300
DR EM85;432C M ,Roskilde domkirke,Roskilde,"Sømme hd, Sjælland",Roskilde,På norrra korskrankmurens insida.,(55.64270 ; 12.08030),ja,,020410,,,M,,,puts,kalkputs,putsinskrift,,,"DK nr.: Sj 30, http://runer.ku.dk/VisGenstand.aspx?Titel=Roskilde_Domkirke-kalkristning_2",,55.6427,12.0803,🧱ᚱ,1300
DR EM85;432D M ,Måløv kirke,Måløv sn,"Smørum hd, Sjælland",Ballerup,På nordväggen.,(55.75180 ; 12.31780),ja,,020210,,,M,,,puts,kalkputs,putsinskrift,,,"DK nr.: Sj 20, http://runer.ku.dk/VisGenstand.aspx?Titel=M%c3%a5l%c3%b8v-kalkristning",,55.7518,12.3178,🧱ᚱ,1300
DR EM85;432E M ,Ibsker,Ibsker sn,"Øster hd, Bornholm",Bornholm,I Sankt Ibs kyrka. I västtornet.,(55.11744 ; 15.10764),ja,,060403,,,M,,,puts,kalkputs,putsinskrift,,,"DK nr.: Bh 44, http://runer.ku.dk/VisGenstand.aspx?Titel=Ibsker-kalkristning",,55.11744,15.10764,🧱ᚱ,1300
DR EM85;432F M ,Nyker kirke,Nyker sn,"Vester hd, Bornholm",Bornholm,Vänster om huvudingången.,(55.13920 ; 14.76940),ja,,060302,,,M,,,puts,kalkputs,putsinskrift,,,"DK nr.: Bh 32, http://runer.ku.dk/VisGenstand.aspx?Titel=Nyker-kalkristning",,55.1392,14.7694,🧱ᚱ,1300
DR EM85;432G M ,Vä kyrka,Vä sn,"Gärds hd, Skåne",Kristianstad,På korets östvägg.,6208350.1392787,ja,,1146 (Vä),,,M ca 1150,,,puts,kalkputs,putsinskrift,,,"DK nr.: Sk 17, http://runer.ku.dk/VisGenstand.aspx?Titel=V%C3%A4-kalkristning",,55.99178801049099,14.087175298570047,🧱ᚱ,1150
DR EM85;432H M ,Lyngsjö kyrka,Lyngsjö sn,"Gärds hd, Skåne",Kristianstad,På västmurens innervägg i tornet.,6202089.1391642,ja,,"1085 (Lyngsjö), 95 [objektid=10108500950001]",,,M,,,puts,kalkputs,putsinskrift,,,"DK nr.: Sk 12, http://runer.ku.dk/VisGenstand.aspx?Titel=Lyngsj%C3%B6-kalkristning_1",,55.93532447973031,14.071353251625021,🧱ᚱ,1300
DR EM85;434A M ,Stoby kyrka,Stoby sn,"Västra Göinge hd, Skåne",Hässleholm,På absidens nordvägg.,6229705.1377457,ja,,"1121 (Stoby), 35 [objektid=10112100350001]",,,M,,,puts,kalkputs,putsinskrift,,,"DK nr.: Sk 111, http://runer.ku.dk/VisGenstand.aspx?Titel=Stoby-kalkristning_1",,56.17979941692172,13.83188309741438,🧱ᚱ,1300
DR EM85;434B $M ,Stoby kyrka,Stoby sn,"Västra Göinge hd, Skåne",Hässleholm,På absidens nordvägg.,6229705.1377457,ja,,"1121 (Stoby), 35 [objektid=10112100350001]",,,M,,,puts,kalkputs,putsinskrift,,,"$=RunLab; DK nr.: Sk 112, http://runer.ku.dk/VisGenstand.aspx?Titel=Stoby-kalkristning_2",,56.17979941692172,13.83188309741438,🧱ᚱ,1300
DR EM85;434C M ,Stoby kyrka,Stoby sn,"Västra Göinge hd, Skåne",Hässleholm,På korets nordvägg.,6229705.1377457,ja,,"1121 (Stoby), 35 [objektid=10112100350001]",,,M,,,puts,kalkputs,putsinskrift,,,"DK nr.: Sk 113, http://runer.ku.dk/VisGenstand.aspx?Titel=Stoby-kalkristning_3",,56.17979941692172,13.83188309741438,🧱ᚱ,1300
DR EM85;434D M ,Stoby kyrka,Stoby sn,"Västra Göinge hd, Skåne",Hässleholm,På korets nordvägg.,6229705.1377457,ja,,"1121 (Stoby), 35 [objektid=10112100350001]",,,M,,,puts,kalkputs,putsinskrift,,,"DK nr.: Sk 114, http://runer.ku.dk/VisGenstand.aspx?Titel=Stoby-kalkristning_4",,56.17979941692172,13.83188309741438,🧱ᚱ,1300
DR EM85;434E M ,Stoby kyrka,Stoby sn,"Västra Göinge hd, Skåne",Hässleholm,På korets nordvägg.,6229705.1377457,ja,,"1121 (Stoby), 35 [objektid=10112100350001]",,,M,,,puts,kalkputs,putsinskrift,,,"DK nr.: Sk 115, http://runer.ku.dk/VisGenstand.aspx?Titel=Stoby-kalkristning_5",,56.17979941692172,13.83188309741438,🧱ᚱ,1300
